Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.402172088623047,113.65721130371094,87.09241485595703,102.33892059326172,31.347850799560547,40.30537033081055,27.332500457763672,129.9499969482422,93.75,154.93307495117188,42.13999938964844,46.7599983215332,27.860000610351562,131.83999633789062,95.27999877929688,156.12811279296875,42.400001525878906,47.41999816894531,26.837499618530273,129.08999633789062,92.8499984741211,153.91969299316406,41.79999923706055,46.540000915527344,27.84749984741211,131.07000732421875,94.91000366210938,154.216064453125,42.2599983215332,46.65999984741211,212818400,4294200,5865400,5779673,9921100,27913900
2015-01-05,23.7147216796875,112.87006378173828,85.81970977783203,100.72863006591797,31.347850799560547,39.93473434448242,26.5625,129.0500030517578,92.37999725341797,152.49522399902344,42.13999938964844,46.33000183105469,27.162500381469727,129.9199981689453,93.3499984741211,154.17782592773438,42.970001220703125,46.72999954223633,26.352500915527344,128.61000061035156,91.77999877929688,152.18930053710938,42.08000183105469,46.25,27.072500228881836,129.66000366210938,93.27999877929688,154.17782592773438,42.689998626708984,46.369998931884766,257142000,5024800,7789400,5104898,26292600,39673900
2015-01-06,23.716957092285156,111.5406265258789,85.36449432373047,98.55630493164062,31.585893630981445,39.34858322143555,26.565000534057617,127.52999877929688,91.88999938964844,149.2064971923828,42.459999084472656,45.650001525878906,26.857500076293945,129.6199951171875,93.19000244140625,152.92543029785156,42.939998626708984,46.75,26.157499313354492,126.18000030517578,91.16000366210938,148.34608459472656,42.2400016784668,45.540000915527344,26.635000228881836,129.0500030517578,92.56999969482422,152.64817810058594,42.40999984741211,46.380001068115234,263188400,4992800,6793100,6429448,16897500,36447900
2015-01-07,24.049518585205078,113.27238464355469,86.23774719238281,97.91220092773438,31.980161666870117,39.84852600097656,26.9375,129.50999450683594,92.83000183105469,148.23135375976562,42.9900016784668,46.22999954223633,27.049999237060547,129.97000122070312,93.1500015258789,150.28680419921875,43.11000061035156,46.459999084472656,26.674999237060547,128.72000122070312,92.0999984741211,147.25621032714844,42.58000183105469,45.4900016784668,26.799999237060547,128.74000549316406,92.72000122070312,150.28680419921875,42.79999923706055,45.97999954223633,160423600,3573200,6589500,4918083,13412300,29114100
2015-01-08,24.97355842590332,115.27528381347656,87.12956237792969,100.04029083251953,32.36698532104492,41.020809173583984,27.97249984741211,131.8000030517578,93.79000091552734,151.45315551757812,43.5099983215332,47.59000015258789,28.037500381469727,131.99000549316406,94.30000305175781,152.04588317871094,43.56999969482422,47.75,27.174999237060547,130.39999389648438,93.55999755859375,148.70936584472656,43.099998474121094,46.720001220703125,27.3075008392334,130.60000610351562,93.87000274658203,149.3690185546875,43.18000030517578,46.75,237458000,4503400,7579400,4431693,21743600,29645200
2015-01-09,25.00034523010254,115.04785919189453,87.5569076538086,100.47604370117188,32.009910583496094,40.676002502441406,28.002500534057617,131.5399932861328,94.25,152.11280822753906,43.029998779296875,47.189998626708984,28.3125,132.25999450683594,95.2699966430664,153.28871154785156,43.560001373291016,47.81999969482422,27.552499771118164,130.92999267578125,93.98999786376953,150.33460998535156,42.95000076293945,46.900001525878906,28.167499542236328,131.58999633789062,94.05000305175781,151.45315551757812,43.470001220703125,47.61000061035156,214798000,3056400,8621300,4694762,12733500,23944200
2015-01-12,24.38431739807129,114.46186065673828,87.75199127197266,98.78996276855469,31.719789505004883,40.167457580566406,27.3125,130.8699951171875,94.45999908447266,149.5602264404297,42.63999938964844,46.599998474121094,28.157499313354492,132.25999450683594,94.76000213623047,152.2466583251953,43.20000076293945,47.540000915527344,27.200000762939453,129.9499969482422,93.7699966430664,148.91014099121094,42.459999084472656,46.36000061035156,28.149999618530273,132.24000549316406,94.69000244140625,152.0076446533203,43.06999969482422,47.41999816894531,198603200,3552700,6586200,4380230,11415800,23651900
2015-01-13,24.600818634033203,114.7242660522461,88.43016052246094,99.02359771728516,31.71235466003418,39.96059036254883,27.55500030517578,131.1699981689453,95.19000244140625,149.91395568847656,42.630001068115234,46.36000061035156,28.200000762939453,133.91000366210938,96.43000030517578,152.93499755859375,43.2400016784668,47.90999984741211,27.227500915527344,130.1699981689453,94.69999694824219,148.83364868164062,42.45000076293945,46.060001373291016,27.857500076293945,132.0,95.27999877929688,150.3441619873047,42.83000183105469,46.970001220703125,268367600,3441700,9364300,4578865,12529500,35270600
